best_reward,best_reward_std,best_score,step,test_episode,test_step,timing/test_time,timing/total_time,timing/train_time,timing/train_time_collect,timing/train_time_update,timing/update_speed,train_episode,train_step,update_step
-2663.891945209384,0.0,-2663.891945209384,1,8.0,15492.0,0.0,9.04193639755249,9.04193639755249,0.0,2.1119377613067627,2265.0015549261784,0.0,20480.0,10.0
3271.3796675108124,0.0,3271.3796675108124,2,12.0,39276.0,0.0,19.78520441055298,19.78520441055298,0.0,4.26194429397583,2070.2338550595346,0.0,40960.0,20.0
4338.772298945765,0.0,4338.772298945765,3,16.0,62608.0,0.0,31.92571234703064,31.92571234703064,0.0,7.518338680267334,1924.4676307344616,8.0,61440.0,30.0
4338.772298945765,0.0,4338.772298945765,4,20.0,82780.0,0.0,43.12390160560608,43.12390160560608,0.0,10.960326671600342,1899.6425868236017,8.0,81920.0,40.0
7402.470707702415,0.0,7402.470707702415,5,24.0,105548.0,0.0,54.71797704696655,54.71797704696655,0.0,14.197766304016113,1871.414213871725,16.0,102400.0,50.0
7402.470707702415,0.0,7402.470707702415,6,28.0,119920.0,0.0,64.0415608882904,64.0415608882904,0.0,17.10959482192993,1918.7539825011952,16.0,122880.0,60.0
7402.470707702415,0.0,7402.470707702415,7,32.0,134012.0,0.0,73.82398128509521,73.82398128509521,0.0,20.602737426757812,1941.9164003952717,20.0,143360.0,70.0
7402.470707702415,0.0,7402.470707702415,8,36.0,147652.0,0.0,83.40077495574951,83.40077495574951,0.0,24.07097625732422,1964.4901391735227,24.0,163840.0,80.0
7402.470707702415,0.0,7402.470707702415,9,40.0,160788.0,0.0,91.50078630447388,91.50078630447388,0.0,26.32223629951477,2014.4089187022405,24.0,184320.0,90.0
7402.470707702415,0.0,7402.470707702415,10,44.0,181068.0,0.0,101.32246160507202,101.32246160507202,0.0,28.284103870391846,2021.2694870980915,32.0,204800.0,100.0
7402.470707702415,0.0,7402.470707702415,11,48.0,202040.0,0.0,112.3429205417633,112.3429205417633,0.0,31.339868545532227,2005.288797136554,32.0,225280.0,110.0
8966.11147828168,0.0,8966.11147828168,12,52.0,223076.0,0.0,123.3505654335022,123.3505654335022,0.0,34.35457634925842,1992.370275209547,40.0,245760.0,120.0
9196.20818770858,0.0,9196.20818770858,13,56.0,243092.0,0.0,134.0152678489685,134.0152678489685,0.0,37.20158052444458,1986.639315604287,40.0,266240.0,130.0
9196.20818770858,0.0,9196.20818770858,14,60.0,263344.0,0.0,144.02505564689636,144.02505564689636,0.0,39.25092339515686,1990.7647229308925,48.0,286720.0,140.0
9196.20818770858,0.0,9196.20818770858,15,64.0,283368.0,0.0,154.89819407463074,154.89819407463074,0.0,42.47990369796753,1983.2380992898438,48.0,307200.0,150.0
9347.358481168187,0.0,9347.358481168187,16,68.0,303580.0,0.0,165.79536867141724,165.79536867141724,0.0,45.65015482902527,1976.4122642618263,56.0,327680.0,160.0
9347.358481168187,0.0,9347.358481168187,17,72.0,323572.0,0.0,175.38890075683594,175.38890075683594,0.0,47.62815737724304,1985.0743034343932,56.0,348160.0,170.0
9347.358481168187,0.0,9347.358481168187,18,76.0,343296.0,0.0,186.38311290740967,186.38311290740967,0.0,50.7685124874115,1977.8615897628604,64.0,368640.0,180.0
9347.358481168187,0.0,9347.358481168187,19,80.0,363044.0,0.0,197.63202452659607,197.63202452659607,0.0,54.123276233673096,1968.9116727518758,64.0,389120.0,190.0
9347.358481168187,0.0,9347.358481168187,20,84.0,382464.0,0.0,208.36292624473572,208.36292624473572,0.0,57.33766984939575,1965.8007659140778,72.0,409600.0,200.0
9347.358481168187,0.0,9347.358481168187,21,88.0,401996.0,0.0,219.12007689476013,219.12007689476013,0.0,60.37359595298767,1962.7594426528087,72.0,430080.0,210.0
9347.358481168187,0.0,9347.358481168187,22,92.0,421200.0,0.0,229.74517631530762,229.74517631530762,0.0,63.278669595718384,1961.1293139040315,80.0,450560.0,220.0
