collect_speed,collect_time,lens_stat/max,lens_stat/mean,lens_stat/min,lens_stat/std,n_collected_episodes,n_collected_steps,pred_dist_std_array_stat/0/max,pred_dist_std_array_stat/0/mean,pred_dist_std_array_stat/0/min,pred_dist_std_array_stat/0/std,returns_stat/max,returns_stat/mean,returns_stat/min,returns_stat/std,step
7423.322365629497,0.27588725090026855,135.0,25.533333333333335,8.0,31.165935820307972,15.0,2048.0,1.1912908554077148,1.0802868604660034,1.0163971185684204,0.02363445982336998,-88.66722030832044,-249.33719744820752,-1176.0561807269805,265.3497597987291,2048
8760.787469224822,0.23376893997192383,,,,,0.0,2048.0,1.1618722677230835,1.0837368965148926,1.037431001663208,0.023983296006917953,,,,,4096
8942.119987716203,0.22902846336364746,,,,,0.0,2048.0,1.1740716695785522,1.0994726419448853,0.9755777716636658,0.05069558694958687,,,,,6144
8694.362580959909,0.23555493354797363,,,,,0.0,2048.0,1.1989177465438843,1.0708847045898438,0.8786662817001343,0.05777003988623619,,,,,8192
8457.865029563369,0.2421414852142334,,,,,0.0,2048.0,1.2428652048110962,1.0386803150177002,0.8036789298057556,0.07162158936262131,,,,,10240
8476.242748020797,0.24161648750305176,,,,,0.0,2048.0,1.133621335029602,0.9864236116409302,0.7885255217552185,0.0704599991440773,,,,,12288
8499.003750869448,0.24096941947937012,,,,,0.0,2048.0,1.2143056392669678,0.9444171190261841,0.8625772595405579,0.04613839089870453,,,,,14336
8904.974790125043,0.22998380661010742,,,,,0.0,2048.0,1.0854512453079224,0.8951679468154907,0.8049513101577759,0.03644990175962448,,,,,16384
8627.048153154872,0.23739290237426758,,,,,0.0,2048.0,1.1495574712753296,0.8916478157043457,0.770927369594574,0.07118723541498184,,,,,18432
8513.508823293296,0.24055886268615723,213.0,34.19047619047619,8.0,47.211397985796204,21.0,2048.0,1.1462911367416382,0.8904442191123962,0.6878260970115662,0.13170261681079865,2646.265277318837,126.14435146388357,-306.3995984359594,788.4822804064788,20480
8752.869253147337,0.23398041725158691,170.0,42.583333333333336,8.0,48.57203985376314,12.0,2048.0,1.2512339353561401,0.9374681711196899,0.63467937707901,0.19425830245018005,39.45799801698064,-229.9637087504835,-584.596504543396,155.33846910626536,22528
8095.227164735828,0.2529885768890381,91.0,60.5,30.0,30.5,2.0,2048.0,1.2636123895645142,0.9193458557128906,0.6076578497886658,0.22516649961471558,-282.9100159166361,-380.7486508831485,-478.58728584966093,97.83863496651242,24576
8345.868027406523,0.2453908920288086,,,,,0.0,2048.0,1.1760618686676025,0.8857877850532532,0.5953985452651978,0.21994033455848694,,,,,26624
8779.887457135119,0.2332603931427002,,,,,0.0,2048.0,1.1356970071792603,0.9183905124664307,0.6750562191009521,0.1386549025774002,,,,,28672
8836.844874642382,0.23175692558288574,110.0,110.0,110.0,0.0,1.0,2048.0,1.2743728160858154,0.9842203855514526,0.7260374426841736,0.13495215773582458,1735.1890209510188,1735.1890209510188,1735.1890209510188,0.0,30720
8822.966790880742,0.23212146759033203,255.0,104.66666666666667,2.0,108.64723752687972,3.0,2048.0,1.2473586797714233,1.0178234577178955,0.6640914082527161,0.13251972198486328,2865.501672397495,2274.3940548991504,1969.8296372648742,418.04094908745253,32768
8834.572745906908,0.23181653022766113,,,,,0.0,2048.0,1.243423342704773,1.039607048034668,0.6355521082878113,0.1350928097963333,,,,,34816
8826.60227890426,0.2320258617401123,,,,,0.0,2048.0,1.3021056652069092,1.0070724487304688,0.6186003684997559,0.1445663720369339,,,,,36864
8848.022562114313,0.23146414756774902,,,,,0.0,2048.0,1.3720167875289917,0.9541285634040833,0.5433052182197571,0.14181657135486603,,,,,38912
8814.257443948489,0.23235082626342773,,,,,0.0,2048.0,1.3269050121307373,0.8901224732398987,0.5575932860374451,0.16121095418930054,,,,,40960
8607.968285558245,0.23791909217834473,,,,,0.0,2048.0,1.317150592803955,0.8759149312973022,0.5298686623573303,0.17169342935085297,,,,,43008
8675.66753861661,0.23606252670288086,,,,,0.0,2048.0,1.163009524345398,0.8041445016860962,0.331532746553421,0.15151630342006683,,,,,45056
8460.489108637841,0.2420663833618164,,,,,0.0,2048.0,1.0805855989456177,0.7735708951950073,0.36553409695625305,0.13325464725494385,,,,,47104
8511.779433243953,0.24060773849487305,,,,,0.0,2048.0,1.122865080833435,0.7639322280883789,0.20385414361953735,0.15626958012580872,,,,,49152
8622.856658723005,0.23750829696655273,,,,,0.0,2048.0,1.1313105821609497,0.8006187677383423,0.31257757544517517,0.19053062796592712,,,,,51200
8673.792820993363,0.2361135482788086,,,,,0.0,2048.0,1.085138201713562,0.7028298377990723,0.40144234895706177,0.14905142784118652,,,,,53248
8892.400709741136,0.23030900955200195,,,,,0.0,2048.0,0.9875060319900513,0.6533000469207764,0.3218092918395996,0.18005900084972382,,,,,55296
8650.104720435349,0.23676013946533203,,,,,0.0,2048.0,0.983456552028656,0.717714250087738,0.33693236112594604,0.18600258231163025,,,,,57344
8622.709510850744,0.23751235008239746,,,,,0.0,2048.0,1.0792933702468872,0.8232114315032959,0.3528171181678772,0.19237519800662994,,,,,59392
8640.2554396807,0.237030029296875,,,,,0.0,2048.0,1.0309444665908813,0.7270084619522095,0.35643911361694336,0.17504115402698517,,,,,61440
8650.923603403999,0.23673772811889648,222.0,222.0,222.0,0.0,1.0,2048.0,1.233757495880127,0.767804741859436,0.4348315894603729,0.1391955018043518,4438.199008022705,4438.199008022705,4438.199008022705,0.0,63488
