best_reward,best_reward_std,best_score,step,test_episode,test_step,timing/test_time,timing/total_time,timing/train_time,timing/train_time_collect,timing/train_time_update,timing/update_speed,train_episode,train_step,update_step
-213.48880461780288,0.0,-213.48880461780288,1,8.0,176.0,0.0,4.884098291397095,4.884098291397095,0.0,2.0836408138275146,4193.199804367922,36.0,20480.0,10.0
618.8001246893548,0.0,618.8001246893548,2,12.0,3688.0,0.0,11.514024496078491,11.514024496078491,0.0,5.400205135345459,3557.400804032541,54.0,40960.0,20.0
787.3568333382761,0.0,787.3568333382761,3,16.0,7508.0,0.0,18.280313968658447,18.280313968658447,0.0,8.762735366821289,3360.9926014038233,54.0,61440.0,30.0
787.3568333382761,0.0,787.3568333382761,4,20.0,23932.0,0.0,28.56363034248352,28.56363034248352,0.0,12.109412908554077,2867.982781521927,62.0,81920.0,40.0
787.3568333382761,0.0,787.3568333382761,5,24.0,26324.0,0.0,34.92220664024353,34.92220664024353,0.0,15.442754030227661,2932.231661500927,62.0,102400.0,50.0
1772.3897545700893,0.0,1772.3897545700893,6,28.0,37988.0,0.0,42.764710903167725,42.764710903167725,0.0,17.928026914596558,2873.3971867186847,73.0,122880.0,60.0
3216.1534926730374,0.0,3216.1534926730374,7,32.0,54652.0,0.0,51.569052934646606,51.569052934646606,0.0,19.868418216705322,2779.961853898693,73.0,143360.0,70.0
6574.792805476235,0.0,6574.792805476235,8,36.0,72608.0,0.0,60.531288862228394,60.531288862228394,0.0,21.828050136566162,2706.6993463976346,81.0,163840.0,80.0
6574.792805476235,0.0,6574.792805476235,9,40.0,90512.0,0.0,69.87421703338623,69.87421703338623,0.0,24.12157392501831,2637.882867609537,81.0,184320.0,90.0
6956.818061659644,0.0,6956.818061659644,10,44.0,108900.0,0.0,80.50075149536133,80.50075149536133,0.0,27.46864891052246,2544.075629055477,89.0,204800.0,100.0
7438.4903056532785,0.0,7438.4903056532785,11,48.0,127388.0,0.0,91.10688781738281,91.10688781738281,0.0,30.74415111541748,2472.6999834694993,89.0,225280.0,110.0
7483.368683729896,0.0,7483.368683729896,12,52.0,145072.0,0.0,100.75877737998962,100.75877737998962,0.0,33.518128871917725,2439.0927161925565,97.0,245760.0,120.0
7483.368683729896,0.0,7483.368683729896,13,56.0,162936.0,0.0,110.5851240158081,110.5851240158081,0.0,36.09851050376892,2407.5570956717565,99.0,266240.0,130.0
7483.368683729896,0.0,7483.368683729896,14,60.0,180704.0,0.0,120.25146102905273,120.25146102905273,0.0,38.77776598930359,2384.33693483964,105.0,286720.0,140.0
7667.048513855382,0.0,7667.048513855382,15,64.0,198632.0,0.0,129.277526140213,129.277526140213,0.0,40.682170391082764,2376.2830955383088,113.0,307200.0,150.0
7914.393724520629,0.0,7914.393724520629,16,68.0,216572.0,0.0,139.64822697639465,139.64822697639465,0.0,43.90862488746643,2346.467313583503,113.0,327680.0,160.0
8286.229000962654,0.0,8286.229000962654,17,72.0,235240.0,0.0,150.22243356704712,150.22243356704712,0.0,47.17892408370972,2317.6298754647028,121.0,348160.0,170.0
