collect_speed,collect_time,lens_stat/max,lens_stat/mean,lens_stat/min,lens_stat/std,n_collected_episodes,n_collected_steps,pred_dist_std_array_stat/0/max,pred_dist_std_array_stat/0/mean,pred_dist_std_array_stat/0/min,pred_dist_std_array_stat/0/std,returns_stat/max,returns_stat/mean,returns_stat/min,returns_stat/std,step
5857.70283013078,0.3496251106262207,135.0,25.533333333333335,8.0,31.165935820307972,15.0,2048.0,1.1912908554077148,1.0802868604660034,1.0163971185684204,0.02363445982336998,-91.97036175091978,-257.23931814459627,-1212.7069181267773,273.3728441407082,2048
6837.824195733611,0.29951047897338867,,,,,0.0,2048.0,1.163877010345459,1.0706787109375,1.0204519033432007,0.022586695849895477,,,,,4096
6009.41827268835,0.34079837799072266,,,,,0.0,2048.0,1.1729906797409058,1.081223964691162,0.9329735040664673,0.06408417224884033,,,,,6144
6048.734292359594,0.33858323097229004,,,,,0.0,2048.0,1.1946117877960205,0.9912219643592834,0.7927426099777222,0.08484447747468948,,,,,8192
6218.80409242415,0.32932376861572266,,,,,0.0,2048.0,1.1769291162490845,0.8755996227264404,0.7207837700843811,0.09378805011510849,,,,,10240
6251.448863996111,0.3276040554046631,224.0,123.55555555555556,21.0,75.53234937739681,9.0,2048.0,1.3544708490371704,0.9130465388298035,0.6642357707023621,0.1990041881799698,-235.35936308721676,-1333.984881157467,-2814.8086841535865,953.3965482643761,12288
6148.187911239245,0.33310627937316895,8.0,8.0,8.0,0.0,1.0,2048.0,1.3310281038284302,1.1856434345245361,0.6966187953948975,0.12138016521930695,426.4528990483256,426.4528990483256,426.4528990483256,0.0,14336
6056.214359189124,0.3381650447845459,141.0,141.0,141.0,0.0,1.0,2048.0,1.3050544261932373,1.1220448017120361,0.7058199048042297,0.1113249808549881,-239.137698115668,-239.137698115668,-239.137698115668,0.0,16384
6245.944171449928,0.3278927803039551,,,,,0.0,2048.0,1.2513792514801025,0.9522706270217896,0.613735556602478,0.1397029608488083,,,,,18432
6249.093068546307,0.3277275562286377,,,,,0.0,2048.0,1.2708048820495605,0.8536484241485596,0.6348506212234497,0.13412068784236908,,,,,20480
6034.774752951723,0.33936643600463867,,,,,0.0,2048.0,1.2040857076644897,0.8415489196777344,0.6527637839317322,0.10438012331724167,,,,,22528
6087.092567029391,0.33644962310791016,,,,,0.0,2048.0,1.0939178466796875,0.7498742938041687,0.6358792781829834,0.07184594124555588,,,,,24576
6178.493351056178,0.33147239685058594,,,,,0.0,2048.0,1.1004184484481812,0.7290403842926025,0.5807446837425232,0.11156395822763443,,,,,26624
