best_reward,best_reward_std,best_score,step,test_episode,test_step,timing/test_time,timing/total_time,timing/train_time,timing/train_time_collect,timing/train_time_update,timing/update_speed,train_episode,train_step,update_step
-2702.9562044448703,0.0,-2702.9562044448703,1,8.0,15412.0,0.0,14.590347290039062,14.590347290039062,0.0,3.469203233718872,1403.6677532673843,0.0,20480.0,10.0
-2702.9562044448703,0.0,-2702.9562044448703,2,12.0,20028.0,0.0,23.308085203170776,23.308085203170776,0.0,6.606202125549316,1757.330112832602,0.0,40960.0,20.0
-2702.9562044448703,0.0,-2702.9562044448703,3,16.0,36972.0,0.0,38.002641916275024,38.002641916275024,0.0,9.901970624923706,1616.7297035653642,8.0,61440.0,30.0
-2702.9562044448703,0.0,-2702.9562044448703,4,20.0,55372.0,0.0,54.47606158256531,54.47606158256531,0.0,14.160083293914795,1503.779781800855,10.0,81920.0,40.0
-2702.9562044448703,0.0,-2702.9562044448703,5,24.0,73948.0,0.0,70.99890279769897,70.99890279769897,0.0,18.537489891052246,1442.2758094131943,16.0,102400.0,50.0
-2702.9562044448703,0.0,-2702.9562044448703,6,28.0,92716.0,0.0,86.23668789863586,86.23668789863586,0.0,22.107238054275513,1424.9155782099997,17.0,122880.0,60.0
-2702.9562044448703,0.0,-2702.9562044448703,7,32.0,113328.0,0.0,102.88159799575806,102.88159799575806,0.0,26.107033252716064,1393.4464743239207,24.0,143360.0,70.0
-2702.9562044448703,0.0,-2702.9562044448703,8,36.0,132920.0,0.0,119.80802488327026,119.80802488327026,0.0,30.12353491783142,1367.521083496956,25.0,163840.0,80.0
3164.04203904527,0.0,3164.04203904527,9,40.0,148660.0,0.0,134.46130466461182,134.46130466461182,0.0,33.77735424041748,1370.8032988356854,33.0,184320.0,90.0
3164.04203904527,0.0,3164.04203904527,10,44.0,164996.0,0.0,149.157958984375,149.157958984375,0.0,37.619935274124146,1373.0410458449205,34.0,204800.0,100.0
3164.04203904527,0.0,3164.04203904527,11,48.0,183500.0,0.0,164.91108775138855,164.91108775138855,0.0,41.21888995170593,1366.0694564068397,34.0,225280.0,110.0
3164.04203904527,0.0,3164.04203904527,12,52.0,198076.0,0.0,179.78378415107727,179.78378415107727,0.0,45.64078402519226,1366.9753429679793,42.0,245760.0,120.0
3164.04203904527,0.0,3164.04203904527,13,56.0,219744.0,0.0,195.90566396713257,195.90566396713257,0.0,48.26658058166504,1359.021452512305,42.0,266240.0,130.0
3604.6365231916775,0.0,3604.6365231916775,14,60.0,242544.0,0.0,213.2433898448944,213.2433898448944,0.0,52.066389083862305,1344.5668829807566,49.0,286720.0,140.0
5611.9591996864765,0.0,5611.9591996864765,15,64.0,265344.0,0.0,230.41213941574097,230.41213941574097,0.0,55.78650188446045,1333.2630857860659,50.0,307200.0,150.0
5611.9591996864765,0.0,5611.9591996864765,16,68.0,285068.0,0.0,245.93846487998962,245.93846487998962,0.0,58.870686054229736,1332.3658019899317,50.0,327680.0,160.0
5611.9591996864765,0.0,5611.9591996864765,17,72.0,305692.0,0.0,261.82277178764343,261.82277178764343,0.0,61.70223307609558,1329.7544656749035,58.0,348160.0,170.0
5611.9591996864765,0.0,5611.9591996864765,18,76.0,325740.0,0.0,278.6194975376129,278.6194975376129,0.0,65.4392614364624,1323.0947699567744,58.0,368640.0,180.0
5611.9591996864765,0.0,5611.9591996864765,19,80.0,345828.0,0.0,294.89102721214294,294.89102721214294,0.0,68.77333283424377,1319.5382839508009,66.0,389120.0,190.0
5704.78956109258,0.0,5704.78956109258,20,84.0,365820.0,0.0,311.00605750083923,311.00605750083923,0.0,72.43526124954224,1317.016148468088,66.0,409600.0,200.0
6486.15077993039,0.0,6486.15077993039,21,88.0,386612.0,0.0,327.65082693099976,327.65082693099976,0.0,76.33108353614807,1312.6168611519204,74.0,430080.0,210.0
6486.15077993039,0.0,6486.15077993039,22,92.0,407348.0,0.0,343.6247012615204,343.6247012615204,0.0,79.17219257354736,1311.1979387567224,74.0,450560.0,220.0
7067.509163241542,0.0,7067.509163241542,23,96.0,427508.0,0.0,359.9917187690735,359.9917187690735,0.0,82.42785382270813,1308.4745438329414,82.0,471040.0,230.0
7938.7979564068255,0.0,7938.7979564068255,24,100.0,447624.0,0.0,376.8752896785736,376.8752896785736,0.0,85.96484661102295,1304.1980025254604,82.0,491520.0,240.0
8095.946013532415,0.0,8095.946013532415,25,104.0,467576.0,0.0,393.7618215084076,393.7618215084076,0.0,89.62821984291077,1300.2784222163798,90.0,512000.0,250.0
8095.946013532415,0.0,8095.946013532415,26,108.0,487848.0,0.0,411.097941160202,411.097941160202,0.0,93.7325119972229,1295.2631153958912,90.0,532480.0,260.0
8172.222833424054,0.0,8172.222833424054,27,112.0,507480.0,0.0,426.77700328826904,426.77700328826904,0.0,96.90826034545898,1295.6649391591043,98.0,552960.0,270.0
8172.222833424054,0.0,8172.222833424054,28,116.0,526812.0,0.0,441.38708233833313,441.38708233833313,0.0,99.5055091381073,1299.1771235399349,98.0,573440.0,280.0
8172.222833424054,0.0,8172.222833424054,29,120.0,547136.0,0.0,456.9746654033661,456.9746654033661,0.0,102.36990547180176,1299.6781768541894,106.0,593920.0,290.0
8454.179473712156,0.0,8454.179473712156,30,124.0,566872.0,0.0,473.0207030773163,473.0207030773163,0.0,105.52640771865845,1298.8860656688316,106.0,614400.0,300.0
8797.978732168027,0.0,8797.978732168027,31,128.0,586520.0,0.0,489.5981740951538,489.5981740951538,0.0,109.03678584098816,1296.7368621693645,114.0,634880.0,310.0
8797.978732168027,0.0,8797.978732168027,32,132.0,605956.0,0.0,506.89499521255493,506.89499521255493,0.0,113.35092806816101,1292.891044870525,114.0,655360.0,320.0
8797.978732168027,0.0,8797.978732168027,33,136.0,625472.0,0.0,522.3963050842285,522.3963050842285,0.0,116.31537866592407,1293.7304368778623,122.0,675840.0,330.0
9011.910682731503,0.0,9011.910682731503,34,140.0,645284.0,0.0,537.7708830833435,537.7708830833435,0.0,119.67091488838196,1294.8265179542727,122.0,696320.0,340.0
9156.779081068846,0.0,9156.779081068846,35,144.0,665464.0,0.0,554.2735753059387,554.2735753059387,0.0,123.43193078041077,1293.224198184719,130.0,716800.0,350.0
9156.779081068846,0.0,9156.779081068846,36,148.0,685548.0,0.0,569.7852487564087,569.7852487564087,0.0,126.74862766265869,1293.9611925881882,131.0,737280.0,360.0
9156.779081068846,0.0,9156.779081068846,37,152.0,706708.0,0.0,585.4565024375916,585.4565024375916,0.0,129.31431984901428,1294.306232563837,138.0,757760.0,370.0
9156.779081068846,0.0,9156.779081068846,38,156.0,727520.0,0.0,601.2849342823029,601.2849342823029,0.0,131.8783528804779,1294.294860271049,138.0,778240.0,380.0
9156.779081068846,0.0,9156.779081068846,39,160.0,747788.0,0.0,617.942355632782,617.942355632782,0.0,135.63621187210083,1292.547747729801,146.0,798720.0,390.0
9156.779081068846,0.0,9156.779081068846,40,164.0,768172.0,0.0,635.1004602909088,635.1004602909088,0.0,139.661860704422,1289.8746752990291,146.0,819200.0,400.0
9156.779081068846,0.0,9156.779081068846,41,168.0,787840.0,0.0,652.2404956817627,652.2404956817627,0.0,143.80229020118713,1287.3779005737965,154.0,839680.0,410.0
9156.779081068846,0.0,9156.779081068846,42,172.0,807892.0,0.0,668.5669746398926,668.5669746398926,0.0,147.1903839111328,1286.5726735355188,154.0,860160.0,420.0
9156.779081068846,0.0,9156.779081068846,43,176.0,828088.0,0.0,685.2047550678253,685.2047550678253,0.0,150.98559379577637,1285.2216705834585,162.0,880640.0,430.0
9156.779081068846,0.0,9156.779081068846,44,180.0,848260.0,0.0,701.0893528461456,701.0893528461456,0.0,154.3173701763153,1285.3140563921118,163.0,901120.0,440.0
9156.779081068846,0.0,9156.779081068846,45,184.0,868952.0,0.0,716.3560199737549,716.3560199737549,0.0,156.90494441986084,1286.5111401363872,170.0,921600.0,450.0
9156.779081068846,0.0,9156.779081068846,46,188.0,889100.0,0.0,732.6467318534851,732.6467318534851,0.0,161.09829378128052,1285.8584622587211,176.0,942080.0,460.0
9156.779081068846,0.0,9156.779081068846,47,192.0,909136.0,0.0,748.2790083885193,748.2790083885193,0.0,164.38857078552246,1286.3650980574112,178.0,962560.0,470.0
9156.779081068846,0.0,9156.779081068846,48,196.0,929964.0,0.0,764.4932925701141,764.4932925701141,0.0,168.30529356002808,1285.8713209832933,180.0,983040.0,480.0
9156.779081068846,0.0,9156.779081068846,49,200.0,950664.0,0.0,780.5215799808502,780.5215799808502,0.0,171.79956340789795,1285.7043619788462,186.0,1003520.0,490.0
9156.779081068846,0.0,9156.779081068846,50,204.0,970956.0,0.0,795.4437329769135,795.4437329769135,0.0,174.35696148872375,1287.3317841951243,187.0,1024000.0,500.0
