actor_loss/max,actor_loss/mean,actor_loss/min,actor_loss/std,ent_loss/max,ent_loss/mean,ent_loss/min,ent_loss/std,gradient_steps,loss/max,loss/mean,loss/min,loss/std,smoothed_loss/actor_loss,smoothed_loss/ent_loss,smoothed_loss/gradient_steps,smoothed_loss/loss,smoothed_loss/vf_loss,step,train_time,vf_loss/max,vf_loss/mean,vf_loss/min,vf_loss/std
0.014270821586251259,-0.019718974840361624,-0.045887332409620285,0.01288442080629313,1.3810956478118896,1.3702975809574127,1.3641602993011475,0.0027142366597082933,80.0,10195.1416015625,7794.482556152344,5009.3642578125,1051.12478518536,-0.019718974840361624,1.3702975809574127,80.0,7794.482556152344,15589.03193359375,1,0.43171048164367676,20390.296875,15589.03193359375,10018.7548828125,2102.2506664843054
0.012585915625095367,-0.026640158041846006,-0.05665817856788635,0.013249841084143657,1.379695177078247,1.3602553695440291,1.3489645719528198,0.0068651215641660915,80.0,3599.146240234375,2920.6237854003907,2435.02294921875,269.0435327953732,-0.023179566441103815,1.365276475250721,80.0,5357.553170776368,10715.180029296875,2,0.22403931617736816,7198.33642578125,5841.328125,4870.126953125,538.0798848476666
0.00487385131418705,-0.019289989973185585,-0.04282906651496887,0.012745471781643862,1.3699710369110107,1.3351551055908204,1.3203480243682861,0.00999276142838284,80.0,1948.1715087890625,1501.1822647094727,1106.9642333984375,173.80628525802396,-0.02188304095179774,1.3552360186974208,80.0,4072.0962020874026,8144.263288370767,3,0.21873021125793457,3896.407958984375,3002.429806518555,2213.95361328125,347.61072586372757
0.011362498626112938,-0.017969489423558117,-0.04530082643032074,0.011791709679887337,1.3344738483428955,1.3011558935046197,1.2795162200927734,0.010898954366944809,80.0,2163.161865234375,1577.1498390197753,1004.7702026367188,241.2740916338927,-0.020904653069737836,1.3417159873992204,80.0,3448.359611320496,6896.7878738403315,4,0.3287649154663086,4326.3583984375,3154.3616302490236,2009.592041015625,482.55157222533245
0.021872494369745255,-0.018565933406352996,-0.04222728684544563,0.011539679945379692,1.3404483795166016,1.2954865515232086,1.257017731666565,0.01713281162286711,80.0,726.52197265625,503.6781135559082,326.59991455078125,70.90166764318622,-0.02043690913706087,1.332470100224018,80.0,2859.4233117675785,5718.914153137206,5,0.38172078132629395,1453.0255126953125,1007.419270324707,653.249755859375,141.79879850399945
0.03615344315767288,-0.0076099952915683385,-0.03224755451083183,0.011676577044433072,1.3218673467636108,1.297298826277256,1.2757632732391357,0.011846793680808022,80.0,2102.2431640625,1472.5586860656738,629.9878540039062,309.12358352546676,-0.01829909016281211,1.3266082212328911,80.0,2628.2792074839276,5256.621550496419,6,0.4009084701538086,4204.4921875,2945.1585372924806,1260.0660400390625,618.2456954988728
0.04324539378285408,-0.005379687575623393,-0.030427701771259308,0.01256586065381836,1.3023889064788818,1.2657199576497078,1.200061559677124,0.02417274067939481,80.0,568.9281616210938,281.5285981178284,90.43439483642578,96.17913800819214,-0.016453461221785152,1.317909897863865,80.0,2293.0291204316277,4586.117510632106,7,0.49980950355529785,1137.8935546875,563.0932714462281,180.89617919921875,192.3628980618653
0.010060561820864677,-0.011649064091034233,-0.029474686831235886,0.008810955412492525,1.2720507383346558,1.238363765180111,1.194941759109497,0.017228652211174245,80.0,264.51910400390625,124.79033699035645,36.92827606201172,51.45753721054101,-0.01585291158044129,1.3079666312783957,80.0,2021.9992725014688,4044.056414067745,8,0.3221917152404785,529.0916137695312,249.628738117218,73.9091567993164,102.92233301464249
0.017508190125226974,-0.011468541470821946,-0.032855499535799026,0.010859786947520123,1.346996784210205,1.3079069018363954,1.2640938758850098,0.02429579369197166,80.0,181.1542510986328,81.9241144657135,21.934242248535156,33.08528114910682,-0.01536575934603914,1.307959994673729,80.0,1806.4353660530514,3612.9276263078054,9,0.31990790367126465,362.3505859375,163.89732422828675,43.89264678955078,66.1744777170171
0.015879087150096893,-0.007013362791622057,-0.027612583711743355,0.009442703934069326,1.2091267108917236,1.1547062307596208,1.1046496629714966,0.030214074809304832,80.0,89.65487670898438,31.713314628601076,7.989439964294434,23.382520833344515,-0.014530519690597432,1.292634618282318,80.0,1628.9631609106066,3257.9812386751173,10,0.38736987113952637,179.3338623046875,63.463749980926515,16.03996467590332,46.75334040115613
