best_reward,best_reward_std,best_score,step,test_episode,test_step,timing/test_time,timing/total_time,timing/train_time,timing/train_time_collect,timing/train_time_update,timing/update_speed,train_episode,train_step,update_step
2925.3767922432417,0.0,2925.3767922432417,1,8.0,52680.0,0.0,31.67377805709839,31.67377805709839,0.0,3.439154863357544,646.59163687643,0.0,20480.0,10.0
2925.3767922432417,0.0,2925.3767922432417,2,12.0,53552.0,0.0,38.18907833099365,38.18907833099365,0.0,6.116127967834473,1072.557961336226,0.0,40960.0,20.0
2925.3767922432417,0.0,2925.3767922432417,3,16.0,54424.0,0.0,44.81212091445923,44.81212091445923,0.0,8.879444122314453,1371.0576233890229,8.0,61440.0,30.0
7316.225406463451,0.0,7316.225406463451,4,20.0,86128.0,0.0,66.48452162742615,66.48452162742615,0.0,12.604756355285645,1232.1664952193387,8.0,81920.0,40.0
7316.225406463451,0.0,7316.225406463451,5,24.0,113068.0,0.0,86.27323126792908,86.27323126792908,0.0,16.103939294815063,1186.9266804437616,8.0,102400.0,50.0
7316.225406463451,0.0,7316.225406463451,6,28.0,136868.0,0.0,105.51736330986023,105.51736330986023,0.0,20.413306951522827,1164.547673913657,16.0,122880.0,60.0
7316.225406463451,0.0,7316.225406463451,7,32.0,160008.0,0.0,124.05934619903564,124.05934619903564,0.0,24.557459115982056,1155.5759754690243,16.0,143360.0,70.0
7316.225406463451,0.0,7316.225406463451,8,36.0,182312.0,0.0,141.23747062683105,141.23747062683105,0.0,28.05556058883667,1160.0321024785835,24.0,163840.0,80.0
7316.225406463451,0.0,7316.225406463451,9,40.0,205096.0,0.0,159.0758409500122,159.0758409500122,0.0,31.72785449028015,1158.6926015869406,24.0,184320.0,90.0
7316.225406463451,0.0,7316.225406463451,10,44.0,207884.0,0.0,167.22702980041504,167.22702980041504,0.0,35.18341279029846,1224.682398798975,32.0,204800.0,100.0
7316.225406463451,0.0,7316.225406463451,11,48.0,209304.0,0.0,175.370619058609,175.370619058609,0.0,39.1883385181427,1284.593743292377,32.0,225280.0,110.0
7316.225406463451,0.0,7316.225406463451,12,52.0,236884.0,0.0,196.51377654075623,196.51377654075623,0.0,43.528528928756714,1250.599343853281,40.0,245760.0,120.0
7316.225406463451,0.0,7316.225406463451,13,56.0,251688.0,0.0,211.03047227859497,211.03047227859497,0.0,47.26687407493591,1261.6187469292083,40.0,266240.0,130.0
7316.225406463451,0.0,7316.225406463451,14,60.0,271176.0,0.0,228.12438821792603,228.12438821792603,0.0,51.50762152671814,1256.8581651432107,45.0,286720.0,140.0
7316.225406463451,0.0,7316.225406463451,15,64.0,274916.0,0.0,237.08020639419556,237.08020639419556,0.0,55.39388990402222,1295.764014517583,48.0,307200.0,150.0
